Year,Category,Nominee,Won
2022,Score,Flying Over Sunset,0
2022,Score,Mr. Saturday Night,0
2022,Score,Paradise Square,0
2023,Musical,Kimberly Akimbo,1
2023,Musical,& Juliet,0
2023,Musical,"New York, New York",0
2023,Musical,Shucked,0
2023,Musical,Some Like It Hot,0
2023,Revival,Parade,1
2023,Revival,Camelot,0
2023,Revival,Into the Woods,0
2023,Revival,Sweeney Todd: The Demon Barber of Fleet Street,0
2023,Actor,J. Harrison Ghee,1
2023,Actor,Christian Borle,0
2023,Actor,Josh Groban,0
2023,Actor,Brian d'Arcy James,0
2023,Actor,Ben Platt,0
2023,Actor,Colton Ryan,0
2023,Actress,Victoria Clark,1
2023,Actress,Annaleigh Ashford,0
2023,Actress,Sara Bareilles,0
2023,Actress,Lorna Courtney,0
2023,Actress,Micaela Diamond,0
2023,FeaturedActor,Alex Newell,1
2023,FeaturedActor,Kevin Cahoon,0
2023,FeaturedActor,Justin Cooley,0
2023,FeaturedActor,Kevin Del Aguila,0
2023,FeaturedActor,Jordan Donica,0
2023,FeaturedActress,Bonnie Milligan,1
2023,FeaturedActress,Julia Lester,0
2023,FeaturedActress,Ruthie Ann Miles,0
2023,FeaturedActress,NaTasha Yvette Williams,0
2023,FeaturedActress,Betsy Wolfe,0
2023,Director,Michael Arden,1
2023,Director,Lear deBessonet,0
2023,Director,Casey Nicholaw,0
2023,Director,Jack O'Brien,0
2023,Director,Jessica Stone,0
2023,Score,Kimberly Akimbo,1
2023,Score,Almost Famous,0
2023,Score,KPOP,0
2023,Score,Shucked,0
2023,Score,Some Like It Hot,0
